"customer_id","anomaly_type","severity","affected_transaction_ids","description"
"C905080434","HIGH_VALUE_TRANSFER_OR_CASHOUT","HIGH","15","High-value CASH_OUT of 229133.94 by C905080434 (txn 15)"
"C1670993182","HIGH_VALUE_TRANSFER_OR_CASHOUT","HIGH","19","High-value TRANSFER of 215310.30 by C1670993182 (txn 19)"
"C1984094095","HIGH_VALUE_TRANSFER_OR_CASHOUT","HIGH","24","High-value TRANSFER of 311685.89 by C1984094095 (txn 24)"
"C873175411","HIGH_VALUE_TRANSFER_OR_CASHOUT","HIGH","82","High-value TRANSFER of 224606.64 by C873175411 (txn 82)"
"C1449772539","HIGH_VALUE_TRANSFER_OR_CASHOUT","HIGH","84","High-value TRANSFER of 379856.23 by C1449772539 (txn 84)"
"C926859124","HIGH_VALUE_TRANSFER_OR_CASHOUT","HIGH","85","High-value TRANSFER of 1505626.01 by C926859124 (txn 85)"
"C1603696865","HIGH_VALUE_TRANSFER_OR_CASHOUT","HIGH","86","High-value TRANSFER of 554026.99 by C1603696865 (txn 86)"
"C412788346","HIGH_VALUE_TRANSFER_OR_CASHOUT","HIGH","88","High-value TRANSFER of 761507.39 by C412788346 (txn 88)"
"C1520267010","HIGH_VALUE_TRANSFER_OR_CASHOUT","HIGH","89","High-value TRANSFER of 1429051.47 by C1520267010 (txn 89)"
"C908084672","HIGH_VALUE_TRANSFER_OR_CASHOUT","HIGH","90","High-value TRANSFER of 358831.92 by C908084672 (txn 90)"
"C288306765","HIGH_VALUE_TRANSFER_OR_CASHOUT","HIGH","91","High-value TRANSFER of 367768.40 by C288306765 (txn 91)"
"C1556867940","HIGH_VALUE_TRANSFER_OR_CASHOUT","HIGH","92","High-value TRANSFER of 209711.11 by C1556867940 (txn 92)"
"C1839168128","HIGH_VALUE_TRANSFER_OR_CASHOUT","HIGH","93","High-value TRANSFER of 583848.46 by C1839168128 (txn 93)"
"C1495608502","HIGH_VALUE_TRANSFER_OR_CASHOUT","HIGH","94","High-value TRANSFER of 1724887.05 by C1495608502 (txn 94)"
"C835773569","HIGH_VALUE_TRANSFER_OR_CASHOUT","HIGH","95","High-value TRANSFER of 710544.77 by C835773569 (txn 95)"
"C843299092","HIGH_VALUE_TRANSFER_OR_CASHOUT","HIGH","96","High-value TRANSFER of 581294.26 by C843299092 (txn 96)"
"C1305486145","ACCOUNT_DRAIN","HIGH","2","Account C1305486145 fully drained: 181.00 -> 0 via TRANSFER (txn 2, amount=181.00)"
"C840083671","ACCOUNT_DRAIN","HIGH","3","Account C840083671 fully drained: 181.00 -> 0 via CASH_OUT (txn 3, amount=181.00)"
"C905080434","ACCOUNT_DRAIN","HIGH","15","Account C905080434 fully drained: 15325.00 -> 0 via CASH_OUT (txn 15, amount=229133.94)"
"C1670993182","ACCOUNT_DRAIN","HIGH","19","Account C1670993182 fully drained: 705.00 -> 0 via TRANSFER (txn 19, amount=215310.30)"
"C1984094095","ACCOUNT_DRAIN","HIGH","24","Account C1984094095 fully drained: 10835.00 -> 0 via TRANSFER (txn 24, amount=311685.89)"
"C768216420","ACCOUNT_DRAIN","HIGH","42","Account C768216420 fully drained: 26845.41 -> 0 via CASH_OUT (txn 42, amount=110414.71)"
"C1570470538","ACCOUNT_DRAIN","HIGH","47","Account C1570470538 fully drained: 1942.02 -> 0 via CASH_OUT (txn 47, amount=56953.90)"
"C2072313080","ACCOUNT_DRAIN","HIGH","51","Account C2072313080 fully drained: 20411.53 -> 0 via CASH_OUT (txn 51, amount=23261.30)"
"C1528834618","ACCOUNT_DRAIN","HIGH","60","Account C1528834618 fully drained: 3017.87 -> 0 via CASH_OUT (txn 60, amount=82940.31)"
"C1718906711","ACCOUNT_DRAIN","HIGH","72","Account C1718906711 fully drained: 25203.05 -> 0 via CASH_OUT (txn 72, amount=94253.33)"
"C283039401","ACCOUNT_DRAIN","HIGH","78","Account C283039401 fully drained: 10363.39 -> 0 via TRANSFER (txn 78, amount=42712.39)"
"C512549200","ZERO_BALANCE_ORIGIN","HIGH","48","CASH_OUT of 5346.89 from zero-balance account C512549200 (txn 48)"
